Semana,C: (Todo el mundo),python: (Todo el mundo),R: (Todo el mundo),C++: (Todo el mundo)
2012-10-21,100,30,14,68
2012-10-28,88,28,12,64
2012-11-04,90,28,13,66
2012-11-11,86,28,13,66
2012-11-18,91,27,12,64
2012-11-25,88,28,14,66
2012-12-02,89,28,14,67
2012-12-09,87,28,13,63
2012-12-16,82,25,11,54
2012-12-23,72,20,6,41
2012-12-30,67,20,7,41
2013-01-06,80,27,11,53
2013-01-13,80,28,12,57
2013-01-20,82,28,12,58
2013-01-27,82,28,13,59
2013-02-03,82,29,14,59
2013-02-10,80,28,14,58
2013-02-17,85,30,13,63
2013-02-24,84,31,14,64
2013-03-03,85,31,14,65
2013-03-10,84,30,13,63
2013-03-17,83,31,13,63
2013-03-24,78,30,12,57
2013-03-31,79,30,12,59
2013-04-07,83,31,13,64
2013-04-14,86,32,14,65
2013-04-21,85,32,14,63
2013-04-28,78,29,13,56
2013-05-05,81,30,12,58
2013-05-12,81,30,13,58
2013-05-19,79,29,12,57
2013-05-26,80,29,11,55
2013-06-02,80,30,12,57
2013-06-09,78,29,12,53
2013-06-16,79,29,12,53
2013-06-23,78,29,11,51
2013-06-30,77,29,11,50
2013-07-07,78,30,11,50
2013-07-14,75,29,10,48
2013-07-21,76,29,11,48
2013-07-28,74,29,10,47
2013-08-04,73,28,10,47
2013-08-11,73,27,10,45
2013-08-18,78,28,10,49
2013-08-25,77,28,10,50
2013-09-01,79,29,11,53
2013-09-08,82,31,12,57
2013-09-15,85,30,13,59
2013-09-22,88,32,14,63
2013-09-29,90,31,14,64
2013-10-06,90,33,15,67
2013-10-13,87,34,15,64
2013-10-20,91,34,15,68
2013-10-27,87,34,15,64
2013-11-03,87,33,15,67
2013-11-10,89,34,16,66
2013-11-17,91,34,16,67
2013-11-24,88,31,14,64
2013-12-01,87,32,15,64
2013-12-08,84,32,14,62
2013-12-15,81,31,12,55
2013-12-22,69,24,6,41
2013-12-29,64,24,7,38
2014-01-05,78,30,11,51
2014-01-12,77,31,13,55
2014-01-19,81,32,13,57
2014-01-26,82,32,13,57
2014-02-02,80,32,14,56
2014-02-09,80,34,14,58
2014-02-16,81,34,15,60
2014-02-23,81,34,15,61
2014-03-02,81,34,15,60
2014-03-09,83,34,15,62
2014-03-16,80,34,14,60
2014-03-23,82,35,15,60
2014-03-30,81,33,15,60
2014-04-06,82,34,15,61
2014-04-13,80,34,16,57
2014-04-20,80,34,15,57
2014-04-27,75,32,15,52
2014-05-04,77,34,15,56
2014-05-11,78,33,15,56
2014-05-18,79,33,14,57
2014-05-25,77,29,14,52
2014-06-01,76,31,14,52
2014-06-08,74,31,14,50
2014-06-15,75,31,13,50
2014-06-22,73,30,12,48
2014-06-29,73,30,12,46
2014-07-06,73,30,13,46
2014-07-13,74,31,13,44
2014-07-20,74,31,13,46
2014-07-27,71,30,12,44
2014-08-03,76,31,12,48
2014-08-10,71,29,12,44
2014-08-17,76,31,13,48
2014-08-24,75,30,12,48
2014-08-31,80,31,13,51
2014-09-07,82,32,14,56
2014-09-14,88,34,16,59
2014-09-21,88,35,15,61
2014-09-28,82,35,15,60
2014-10-05,86,35,16,60
2014-10-12,88,34,16,63
2014-10-19,82,35,16,61
2014-10-26,87,35,16,63
2014-11-02,87,35,16,63
2014-11-09,87,36,17,63
2014-11-16,87,35,17,65
2014-11-23,85,33,15,60
2014-11-30,87,35,17,62
2014-12-07,82,35,17,61
2014-12-14,78,32,14,53
2014-12-21,67,25,8,39
2014-12-28,61,23,8,35
2015-01-04,72,31,12,47
2015-01-11,74,33,14,53
2015-01-18,78,34,15,54
2015-01-25,76,35,16,54
2015-02-01,78,36,16,56
2015-02-08,78,37,17,57
2015-02-15,76,35,16,54
2015-02-22,79,36,17,56
2015-03-01,79,37,17,57
2015-03-08,81,37,17,60
2015-03-15,79,36,17,59
2015-03-22,79,38,17,60
2015-03-29,74,37,16,55
2015-04-05,77,36,17,57
2015-04-12,80,37,18,58
2015-04-19,80,38,19,58
2015-04-26,75,36,18,54
2015-05-03,72,36,17,53
2015-05-10,77,36,16,54
2015-05-17,78,36,16,55
2015-05-24,73,35,15,51
2015-05-31,72,36,15,51
2015-06-07,74,37,16,50
2015-06-14,72,37,16,49
2015-06-21,71,36,15,48
2015-06-28,70,35,14,45
2015-07-05,72,35,14,45
2015-07-12,69,35,15,43
2015-07-19,71,36,15,43
2015-07-26,68,34,14,43
2015-08-02,74,34,14,44
2015-08-09,69,35,13,43
2015-08-16,73,34,14,44
2015-08-23,73,37,14,46
2015-08-30,77,36,14,48
2015-09-06,80,39,15,53
2015-09-13,80,39,16,55
2015-09-20,80,39,17,55
2015-09-27,82,39,17,58
2015-10-04,86,40,18,61
2015-10-11,84,41,18,62
2015-10-18,80,41,18,60
2015-10-25,84,41,18,61
2015-11-01,83,42,18,61
2015-11-08,77,41,18,58
2015-11-15,81,42,19,61
2015-11-22,79,39,17,56
2015-11-29,77,41,18,58
2015-12-06,78,41,18,57
2015-12-13,73,40,16,53
2015-12-20,62,32,11,40
2015-12-27,53,28,9,32
2016-01-03,66,37,13,44
2016-01-10,67,39,15,49
2016-01-17,71,42,16,53
